,Modeled_Diameter,Age,Tree_Density,Temperature,Aridity,Modeled_Biomass,Lat,Long
207,4.852430808,40,2000,18.7374992,1.0701,7642.069379,3441678.176,-87892.98491
208,4.979714837,40,2000,18.7166996,1.0674,7871.349039,3441678.176,-83356.37907
209,5.031239959,40,2000,18.6875,1.0641,7984.688245,3441678.176,-81541.73673
210,4.905452988,40,2000,18.6833,1.0634,7659.602066,3441678.176,-80634.41556
211,4.975622612,40,2000,18.5792007,1.0641,7871.732728,3441678.176,-77005.13088
212,4.99266599,40,2000,18.6417007,1.0564,7876.152394,3441678.176,-76097.80972
213,5.02581389,40,2000,18.6667004,1.0547,8007.462061,3441678.176,-75190.48855
214,5.048118705,40,2000,18.6667004,1.0497,8290.59955,3441678.176,-74283.16738
215,5.043336901,40,2000,18.6541996,1.0485,8080.543984,3441678.176,-73375.84621
216,4.957611328,40,2000,18.6457996,1.0477,7991.42477,3441678.176,-72468.52504
217,5.158419598,40,2000,18.6124992,1.0484,8516.899223,3441678.176,-71561.20387
218,4.963767617,40,2000,18.6042004,1.0519,7794.454811,3441678.176,-70653.8827
219,5.148251833,40,2000,18.5958004,1.0492,8482.15294,3441678.176,-69746.56153
220,5.037646728,40,2000,18.5916996,1.0515,7896.550859,3441678.176,-68839.24037
221,5.035205973,40,2000,18.6208,1.0458,7981.866075,3441678.176,-67931.9192
222,5.116690855,40,2000,18.6457996,1.0457,8275.127673,3441678.176,-67024.59803
223,5.022746714,40,2000,18.6208,1.0486,8149.41265,3441678.176,-65209.95569
224,4.952758251,40,2000,18.5625,1.052,7837.307205,3441678.176,-64302.63452
225,5.05153419,40,2000,18.5874996,1.0449,8065.829449,3441678.176,-61580.67102
226,5.062691513,40,2000,18.6333008,1.0423,8255.72316,3441678.176,-60673.34985
227,5.163543649,40,2000,18.5708008,1.0398,8507.314665,3441678.176,-59766.02868
228,5.015193306,40,2000,18.5625,1.0415,8098.088301,3441678.176,-58858.70751
229,5.070733757,40,2000,18.6000004,1.038,8222.40607,3441678.176,-57951.38634
230,5.07118678,40,2000,18.5708008,1.0376,8177.624369,3441678.176,-56136.744
231,5.110622976,40,2000,18.5375004,1.0391,8370.111981,3441678.176,-55229.42283
232,5.101941507,40,2000,18.6166992,1.0266,8543.343096,3441678.176,-54322.10167
233,5.078291953,40,2000,18.6292,1.031,8392.540582,3441678.176,-53414.7805
234,5.05911095,40,2000,18.5958004,1.0239,8277.668846,3441678.176,-51600.13816
235,4.950704246,40,2000,18.625,1.0225,7999.868699,3441678.176,-50692.81699
236,5.184786633,40,2000,18.6333008,1.0175,8777.296234,3441678.176,-48878.17465
